OBJECTID,name,Shape_Length,main_trail,locality,walk,bike,off_road_vehicle,mobility_access,horse,dog_access,dog_weblink,conditions_of_use,status,description,weblink,image_link,managed_by,data_supplier,spatial_accuracy,date_modified,local_authority
82,Tahora Road,1351.69890942421,,Gisborne District [Wharekopae],,,,,,,,,,,,,,,,,
83,Tahora Road,112.130413092904,,Gisborne District [Wharekopae],,,,,,,,,,,,,,,,,
84,,537.586097770481,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
85,Te Wera Road,575.972072897885,,Gisborne District [Matawai],,,,,,,,,,,,,,,,,
86,,710.328656600999,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
87,,46.0814714162458,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
88,,1817.37340589773,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
89,,888.989295439294,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
90,,767.040545794785,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
91,,608.012072420734,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
92,,847.976768316607,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
93,,1165.88931456173,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
94,Wharekopae Road,419.639070130092,,Gisborne District [Patutahi-Wharekopae],,,,,,,,,,,,,,,,,
95,,222.185612273879,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
96,,282.384349499935,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
97,,2030.71913653446,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
98,,567.749181972855,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
99,,503.523098787784,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
100,,179.108670333292,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
101,,34.8218715796138,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
102,,506.750119007736,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
103,Stout Street,63.4656527429443,,Gisborne District [Whataupoko-Riverdale],,,,,,,,,,,,,,,,,
104,,972.247156861357,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
105,,669.23714153685,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
106,,377.156817734258,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
107,,569.860647636508,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
108,,1680.85328262161,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
109,,92.4774677170492,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
110,,48.03250932115,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
111,,1804.88225612844,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
112,,611.874493930259,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
113,Wharekopae Road,140.181078782856,,Gisborne District [Patutahi-Wharekopae],,,,,,,,,,,,,,,,,
114,Wharekopae Road,1089.19484544801,,Gisborne District [Patutahi-Wharekopae],,,,,,,,,,,,,,,,,
115,Wharekopae Road,816.256089155839,,Gisborne District [Patutahi-Wharekopae],,,,,,,,,,,,,,,,,
116,Wharekopae Road,1788.84280603994,,Gisborne District [Patutahi-Wharekopae],,,,,,,,,,,,,,,,,
117,,1360.63660638891,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
118,Wharekopae Road,2143.94032023201,,Gisborne District [Patutahi-Wharekopae],,,,,,,,,,,,,,,,,
119,Kaimoe Road,1210.70973601813,,Gisborne District [Patutahi],,,,,,,,,,,,,,,,,
120,Grey Street,72.6393320063486,,Gisborne District [Gisborne-Awapuni],,,,,,,,,,,,,,,,,
121, ,88.9481788457845,, ,,,,,,,,,,,,,,,,,
122,,2051.03677773038,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
123,,760.270733780024,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
124,,304.757439686502,,Kaiti Hill,,,,,,,,,,,,,,,,,Gisborne District Council
125,Stout Street,221.030134245849,,Gisborne District [Whataupoko-Riverdale],,,,,,,,,,,,,,,,,
126,,40.2452386762949,,Whataupoko Park,,,,,,,,,,,,,,,,,Gisborne District Council
127,,113.088435447479,,Whataupoko Park,,,,,,,,,,,,,,,,,Gisborne District Council
128,,86.1524710669177,,Whataupoko Park,,,,,,,,,,,,,,,,,Gisborne District Council
129,,82.2463318787806,,Whataupoko Park,,,,,,,,,,,,,,,,,Gisborne District Council
130,,41.6059654121928,,Whataupoko Park,,,,,,,,,,,,,,,,,Gisborne District Council
131,,73.2092611118795,,Whataupoko Park,,,,,,,,,,,,,,,,,Gisborne District Council
132,Okitu Track,180.174077195322,Okitu Track,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
133,Okitu Track,10.7471259824058,Okitu Track,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
134,,785.313194546239,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
135,,131.078811771503,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
136,,648.188219874379,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
137,,2424.57027167374,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
138,,895.289817513303,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
139,,519.986316944933,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
140,,1018.57502797558,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
141,,1540.42350224394,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
142,,266.455261020608,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
143,,544.983014959944,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
144,Stout Street,122.225368877057,,Gisborne District [Whataupoko-Riverdale],,,,,,,,,,,,,,,,,
145,Stout Street,103.772153541865,,Gisborne District [Whataupoko-Riverdale],,,,,,,,,,,,,,,,,
146,Stout Street,125.419864402546,,Gisborne District [Whataupoko-Riverdale],,,,,,,,,,,,,,,,,
147,Nelson Road,214.636187668487,,Gisborne District [Riverdale-Makauri],,,,,,,,,,,,,,,,,
148,Stout Street,167.507382289123,,Gisborne District [Whataupoko-Riverdale],,,,,,,,,,,,,,,,,
149,Stout Street,49.3154238509147,,Gisborne District [Whataupoko-Riverdale],,,,,,,,,,,,,,,,,
150,Stout Street,174.673628361392,,Gisborne District [Whataupoko-Riverdale],,,,,,,,,,,,,,,,,
151,Stout Street,177.70738808479,,Gisborne District [Whataupoko-Riverdale],,,,,,,,,,,,,,,,,
152,Gisborne - Napier Rail Line,41021.0646709355,,,99,99,99,,99,,,,,,,,NZ Transport Agency,NZ Transport Agency,,,
153,,223.523051917386,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
154,,1711.63395018434,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
155,,355.923871767405,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
156,,843.348822674892,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
157,,986.289051408486,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
158,,612.959127066963,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
159,,261.440212901355,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
160,,865.643028133376,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
161,,883.635436906639,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
162,,1762.15794970547,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
163,,1226.89236505935,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
164,,645.636533576928,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
165,Rua'S Track,20045.606856488,Rua'S Track,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
166,Rua'S Track - Anini Clearing To Six Foot Track,7821.51583581724,,,5,99,99,,99,,,,,Rua'S Tk - Anini Clearing To Six Foot Tk,,,DOC,DOC,,,
167,Moanui Track - Moanui To Koranga Forks Hut,5326.31637753098,,,5,99,99,,99,,,,,Moanui Tk - Moanui To Koranga Forks Hut,,,DOC,DOC,,,
168,,1491.14350302206,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
169,,713.010135027839,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
170,Mangatoatoa Track Jnc To Makakoere Hut Track,317.986432237644,,,6,99,99,,99,,,,,Mangatoatoa Tk Jnc To Makakoere Hut Tk,,,DOC,DOC,,,
171,,317.986432237644,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
172,,865.332936576201,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
173,Makakoere Hut To Kahunui/Makakoere Stm C,4892.7530292181,,,6,99,99,,99,,,,,Makakoere Hut To Kahunui/Makakoere Stm C,,,DOC,DOC,,,
174,Koranga Forks Hut To Tawa Hut,5035.41506200408,,,5,99,99,,99,,,,,Koranga Forks Hut To Tawa Hut,,,DOC,DOC,,,
175,,739.500775411643,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
176,Moanui Track Tawa Hut To Koranga Stm Junc,8472.80434961169,,,5,99,99,,99,,,,,Moanui Tk Tawa Hut To Koranga Stm Junc,,,DOC,DOC,,,
177,Tawa - Kahunui Track,5024.57073360338,,,5,99,99,,99,,,,,Tawa - Kahunui Tk,,,DOC,DOC,,,
178,,683.859474320834,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
179,,1238.31646629462,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
180,,57.6478934411744,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
181,,1452.59126159812,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
182,,523.706885447111,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
183,,553.161882955725,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
184,,1770.57785702934,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
185,,2877.93410892272,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
186,,59.234487574643,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
187,,351.734684877077,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
188,Gisborne To Matawai,103981.142004633,,,99,99,99,,99,,,,,,,,NZ Transport Agency,NZ Transport Agency,,,
189,Te Wera Road,2077.33521614777,,Gisborne District [Matawai],,,,,,,,,,,,,,,,,
190,Te Wera Road,4911.84022395926,,Gisborne District [Matawai],,,,,,,,,,,,,,,,,
191,,128.875111907749,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
192,Tahora Road,4792.6577164341,,Gisborne District [Wharekopae],,,,,,,,,,,,,,,,,
193,,1155.94728677281,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
194,,1659.63811866462,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
195,Matawai Walking Track,1219.83622603814,,,5,99,99,,99,,,,,Matawai Walking Track,,,DOC,DOC,,,
196,,3469.56036521893,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
197,Te Wera Road,4681.09597731627,,Gisborne District [Matawai],,,,,,,,,,,,,,,,,
198,,2258.92741042846,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
199,,202.146549971613,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
200,,1206.96357947148,,,99,99,,,,,,,,,,,,Land Information New Zealand,,,
